file_name,tSNE1,tSNE2,face_name,Target,Network,Iteration
sample/face_646.png,-24.270378,7.97309,ConsensusHappy_Chain7_Node13.png,ConsensusHappy,7,13
sample/face_8.png,30.053839,36.38632,Ambiguity_Chain8_Node0.png,Ambiguity,8,0
sample/face_736.png,9.411679,26.431591,ConsensusHappy_Chain10_Node20.png,ConsensusHappy,10,20
sample/face_189.png,42.93949,-31.741867,Ambiguity_Chain12_Node16.png,Ambiguity,12,16
sample/face_164.png,17.316774,-29.128075,Ambiguity_Chain4_Node13.png,Ambiguity,4,13
sample/face_70.png,-16.375593,18.147991,Ambiguity_Chain6_Node3.png,Ambiguity,6,3
sample/face_1014.png,49.46651,1.6747347,ConsensusSad_Chain20_Node2.png,ConsensusSad,20,2
sample/face_1001.png,44.80563,26.06181,ConsensusSad_Chain19_Node36.png,ConsensusSad,19,36
sample/face_468.png,9.704652,3.178232,ConsensusHappy_Chain1_Node4.png,ConsensusHappy,1,4
sample/face_1096.png,-66.28979,-12.498457,ConsensusSad_Chain22_Node80.png,ConsensusSad,22,80
sample/face_172.png,38.763153,-33.518703,Ambiguity_Chain12_Node13.png,Ambiguity,12,13
sample/face_1144.png,-1.5456737,25.130007,ConsensusSad_Chain24_Node48.png,ConsensusSad,24,48
sample/face_554.png,-6.8613234,24.731276,ConsensusHappy_Chain4_Node6.png,ConsensusHappy,4,6
sample/face_364.png,-47.244434,-20.53202,Ambiguity_Chain9_Node60.png,Ambiguity,9,60
sample/face_655.png,-77.39997,-26.519918,ConsensusHappy_Chain7_Node48.png,ConsensusHappy,7,48
sample/face_471.png,-56.972546,-9.647689,ConsensusHappy_Chain1_Node7.png,ConsensusHappy,1,7
sample/face_1156.png,-34.902603,-19.141314,ConsensusSad_Chain25_Node4.png,ConsensusSad,25,4
sample/face_1168.png,41.342945,-36.46747,ConsensusSad_Chain25_Node32.png,ConsensusSad,25,32
sample/face_49.png,52.254017,-3.5572386,Ambiguity_Chain9_Node3.png,Ambiguity,9,3
sample/face_600.png,-65.12154,14.960626,ConsensusHappy_Chain5_Node60.png,ConsensusHappy,5,60
sample/face_693.png,-39.332157,-14.907776,ConsensusHappy_Chain9_Node0.png,ConsensusHappy,9,0
sample/face_350.png,5.5495167,-14.115556,Ambiguity_Chain12_Node52.png,Ambiguity,12,52
sample/face_719.png,-67.895386,9.251931,ConsensusHappy_Chain9_Node68.png,ConsensusHappy,9,68
sample/face_591.png,14.826205,-0.34955955,ConsensusHappy_Chain5_Node24.png,ConsensusHappy,5,24
sample/face_765.png,-17.941696,12.082428,ConsensusHappy_Chain11_Node20.png,ConsensusHappy,11,20
sample/face_58.png,-12.038595,17.488169,Ambiguity_Chain11_Node3.png,Ambiguity,11,3
sample/face_109.png,44.38614,-18.79004,Ambiguity_Chain7_Node5.png,Ambiguity,7,5
sample/face_1113.png,54.680424,14.897607,ConsensusSad_Chain23_Node36.png,ConsensusSad,23,36
sample/face_392.png,17.194365,-26.083988,Ambiguity_Chain16_Node64.png,Ambiguity,16,64
sample/face_150.png,-63.626625,-24.331474,Ambiguity_Chain14_Node8.png,Ambiguity,14,8
sample/face_768.png,-70.87415,19.684181,ConsensusHappy_Chain11_Node28.png,ConsensusHappy,11,28
sample/face_477.png,-24.164318,3.0744245,ConsensusHappy_Chain1_Node28.png,ConsensusHappy,1,28
sample/face_1204.png,53.73969,37.13352,ConsensusSad_Chain26_Node64.png,ConsensusSad,26,64
sample/face_649.png,12.451581,24.33457,ConsensusHappy_Chain7_Node24.png,ConsensusHappy,7,24
sample/face_622.png,4.0417604,-7.7891955,ConsensusHappy_Chain6_Node32.png,ConsensusHappy,6,32
sample/face_1075.png,47.966125,-35.702354,ConsensusSad_Chain22_Node7.png,ConsensusSad,22,7
sample/face_343.png,5.926914,-17.942451,Ambiguity_Chain1_Node52.png,Ambiguity,1,52
sample/face_527.png,-17.988972,9.782904,ConsensusHappy_Chain3_Node7.png,ConsensusHappy,3,7
sample/face_890.png,-67.11866,15.556253,ConsensusHappy_Chain15_Node44.png,ConsensusHappy,15,44
sample/face_391.png,13.889253,-0.51888496,Ambiguity_Chain8_Node64.png,Ambiguity,8,64
sample/face_769.png,-36.38164,16.279242,ConsensusHappy_Chain11_Node32.png,ConsensusHappy,11,32
sample/face_980.png,52.173393,16.492634,ConsensusSad_Chain18_Node64.png,ConsensusSad,18,64
sample/face_190.png,-33.051643,12.3435545,Ambiguity_Chain11_Node13.png,Ambiguity,11,13
sample/face_700.png,-75.04125,-30.700127,ConsensusHappy_Chain9_Node7.png,ConsensusHappy,9,7
sample/face_798.png,-28.832676,7.585966,ConsensusHappy_Chain12_Node28.png,ConsensusHappy,12,28
sample/face_340.png,4.0502963,-18.491247,Ambiguity_Chain11_Node52.png,Ambiguity,11,52
sample/face_800.png,-53.82712,3.7099662,ConsensusHappy_Chain12_Node36.png,ConsensusHappy,12,36
sample/face_896.png,3.8273308,3.8768446,ConsensusHappy_Chain15_Node68.png,ConsensusHappy,15,68
sample/face_1195.png,53.343155,-20.819956,ConsensusSad_Chain26_Node28.png,ConsensusSad,26,28
sample/face_203.png,-65.04383,-32.60755,Ambiguity_Chain16_Node16.png,Ambiguity,16,16
sample/face_137.png,47.56372,-4.6047482,Ambiguity_Chain1_Node7.png,Ambiguity,1,7
sample/face_257.png,14.799139,6.4722447,Ambiguity_Chain3_Node32.png,Ambiguity,3,32
sample/face_93.png,-30.623869,-5.7438,Ambiguity_Chain12_Node4.png,Ambiguity,12,4
sample/face_953.png,-28.451487,11.184419,ConsensusSad_Chain17_Node68.png,ConsensusSad,17,68
sample/face_268.png,-19.344353,-18.334717,Ambiguity_Chain8_Node32.png,Ambiguity,8,32
sample/face_1169.png,40.977684,-37.09509,ConsensusSad_Chain25_Node36.png,ConsensusSad,25,36
sample/face_852.png,-66.45514,21.367233,ConsensusHappy_Chain14_Node11.png,ConsensusHappy,14,11
sample/face_134.png,20.844307,-21.698954,Ambiguity_Chain8_Node7.png,Ambiguity,8,7
sample/face_20.png,9.590114,10.413746,Ambiguity_Chain15_Node1.png,Ambiguity,15,1
sample/face_973.png,-5.4763308,35.981174,ConsensusSad_Chain18_Node36.png,ConsensusSad,18,36
sample/face_856.png,-77.38234,-28.0298,ConsensusHappy_Chain14_Node24.png,ConsensusHappy,14,24
sample/face_26.png,-51.625813,8.62109,Ambiguity_Chain13_Node1.png,Ambiguity,13,1
sample/face_1101.png,-31.420269,-13.388297,ConsensusSad_Chain23_Node5.png,ConsensusSad,23,5
